participant,age_group,frame,timestamp,true_location,humna_class,human_score_blinks_removed
EX01,adult,311.4418605,10.2775814,1,Right,1
EX01,adult,312.4465116,10.31073488,1,Right,1
EX01,adult,313.4511628,10.34388837,1,Right,1
EX01,adult,314.455814,10.37704186,1,Right,1
EX01,adult,315.4604651,10.41019535,1,Right,1
EX01,adult,316.4651163,10.44334884,1,Right,1
EX01,adult,317.4697674,10.47650233,1,Right,1
EX01,adult,318.4744186,10.50965581,1,Right,1
EX01,adult,319.4790698,10.5428093,1,Right,1
EX01,adult,320.4837209,10.57596279,1,Right,1
EX01,adult,321.4883721,10.60911628,1,Right,1
EX01,adult,322.4930233,10.64226977,1,Right,1
EX01,adult,323.4976744,10.67542326,1,Right,1
EX01,adult,324.5023256,10.70857674,1,Right,1
EX01,adult,325.5069767,10.74173023,1,Right,1
EX01,adult,326.5116279,10.77488372,1,Right,1
EX01,adult,327.5162791,10.80803721,1,Right,1
EX01,adult,328.5209302,10.8411907,1,Right,1
EX01,adult,329.5255814,10.87434419,1,Right,1
EX01,adult,330.5302326,10.90749767,1,Right,1
EX01,adult,331.5348837,10.94065116,1,Right,1
EX01,adult,332.5395349,10.97380465,1,Centre,0
EX01,adult,333.544186,11.00695814,1,Centre,0
EX01,adult,334.5488372,11.04011163,0.977272727,Centre,0
EX01,adult,335.5534884,11.07326512,0.954545455,Centre,0
EX01,adult,336.5581395,11.1064186,0.931818182,Centre,0
EX01,adult,337.5627907,11.13957209,0.909090909,Centre,0
EX01,adult,338.5674419,11.17272558,0.886363636,Centre,0
EX01,adult,339.572093,11.20587907,0.863636364,Centre,0
EX01,adult,340.5767442,11.23903256,0.840909091,Centre,0
EX01,adult,341.5813953,11.27218605,0.818181818,Centre,0
EX01,adult,342.5860465,11.30533953,0.795454545,Centre,0
EX01,adult,343.5906977,11.33849302,0.772727273,Centre,0
EX01,adult,344.5953488,11.37164651,0.75,Centre,0
EX01,adult,345.6,11.4048,0.727272727,Centre,0
EX01,adult,346.6046512,11.43795349,0.727272727,Centre,0
EX01,adult,347.6093023,11.47110698,0.704545455,Centre,0
EX01,adult,348.6139535,11.50426047,0.681818182,Centre,0
EX01,adult,349.6186047,11.53741395,0.659090909,Centre,0
EX01,adult,350.6232558,11.57056744,0.636363636,Centre,0
EX01,adult,351.627907,11.60372093,0.613636364,Centre,0
EX01,adult,352.6325581,11.63687442,0.590909091,Centre,0
EX01,adult,353.6372093,11.67002791,0.568181818,Centre,0
EX01,adult,354.6418605,11.7031814,0.545454545,Centre,0
EX01,adult,355.6465116,11.73633488,0.522727273,Centre,0
EX01,adult,356.6511628,11.76948837,0.5,Centre,0
EX01,adult,357.655814,11.80264186,0.477272727,Centre,0
EX01,adult,358.6604651,11.83579535,0.454545455,Centre,0
EX01,adult,359.6651163,11.86894884,0.431818182,Centre,0
EX01,adult,360.6697674,11.90210233,0.409090909,Centre,0
EX01,adult,361.6744186,11.93525581,0.386363636,Centre,0
EX01,adult,362.6790698,11.9684093,0.363636364,Centre,0
EX01,adult,363.6837209,12.00156279,0.340909091,Centre,0
EX01,adult,364.6883721,12.03471628,0.318181818,Centre,0
EX01,adult,365.6930233,12.06786977,0.295454545,Centre,0
EX01,adult,366.6976744,12.10102326,0.295454545,Centre,0
EX01,adult,367.7023256,12.13417674,0.272727273,Centre,0
EX01,adult,368.7069767,12.16733023,0.25,Centre,0
EX01,adult,369.7116279,12.20048372,0.227272727,Centre,0
EX01,adult,370.7162791,12.23363721,0.204545455,Centre,0
EX01,adult,371.7209302,12.2667907,0.181818182,Centre,0
EX01,adult,372.7255814,12.29994419,0.159090909,Centre,0
EX01,adult,373.7302326,12.33309767,0.136363636,Centre,0
EX01,adult,374.7348837,12.36625116,0.113636364,Centre,0
EX01,adult,375.7395349,12.39940465,0.090909091,Centre,0
EX01,adult,376.744186,12.43255814,0.068181818,Centre,0
EX01,adult,377.7488372,12.46571163,0.045454545,Centre,0
EX01,adult,378.7534884,12.49886512,0,Centre,0
EX01,adult,379.7581395,12.5320186,0,Centre,0
EX01,adult,380.7627907,12.56517209,0,Centre,0
EX01,adult,381.7674419,12.59832558,0,Centre,0
EX01,adult,382.772093,12.63147907,0,Centre,0
EX01,adult,383.7767442,12.66463256,0,Centre,0
EX01,adult,384.7813953,12.69778605,0,Centre,0
EX01,adult,385.7860465,12.73093953,0,Centre,0
EX01,adult,386.7906977,12.76409302,0,Centre,0
EX01,adult,387.7953488,12.79724651,0,Centre,0
EX01,adult,388.8,12.8304,0,Centre,0
EX01,adult,389.8046512,12.86355349,0,Centre,0
EX01,adult,390.8093023,12.89670698,0,Centre,0
EX01,adult,391.8139535,12.92986047,0,Centre,0
EX01,adult,392.8186047,12.96301395,0,Centre,0
EX01,adult,393.8232558,12.99616744,0,Centre,0
EX01,adult,394.827907,13.02932093,0,Centre,0
EX01,adult,395.8325581,13.06247442,0,Centre,0
EX01,adult,396.8372093,13.09562791,0,Centre,0
EX01,adult,397.8418605,13.1287814,0,Centre,0
EX01,adult,398.8465116,13.16193488,0,Centre,0
EX01,adult,399.8511628,13.19508837,0,Centre,0
EX01,adult,400.855814,13.22824186,0,Centre,0
EX01,adult,401.8604651,13.26139535,0,Centre,0
EX01,adult,402.8651163,13.29454884,0,Centre,0
EX01,adult,403.8697674,13.32770233,0,Centre,0
EX01,adult,404.8744186,13.36085581,0,Centre,0
EX01,adult,405.8790698,13.3940093,0,Centre,0
EX01,adult,406.8837209,13.42716279,0,Centre,0
EX01,adult,407.8883721,13.46031628,0,Centre,0
EX01,adult,408.8930233,13.49346977,0,Centre,0
EX01,adult,409.8976744,13.52662326,0,Centre,0
EX01,adult,410.9023256,13.55977674,0,Centre,0
EX01,adult,411.9069767,13.59293023,0,Centre,0
EX01,adult,412.9116279,13.62608372,0,Centre,0
EX01,adult,413.9162791,13.65923721,0,Centre,0
EX01,adult,414.9209302,13.6923907,0,Centre,0
EX01,adult,415.9255814,13.72554419,0,Centre,0
EX01,adult,416.9302326,13.75869767,0,Centre,0
EX01,adult,417.9348837,13.79185116,0,Centre,0
EX01,adult,418.9395349,13.82500465,0,Centre,0
EX01,adult,419.944186,13.85815814,0,Blink,0
EX01,adult,420.9488372,13.89131163,0,Blink,0
EX01,adult,421.9534884,13.92446512,0,Blink,0
EX01,adult,422.9581395,13.9576186,0,Blink,0
EX01,adult,423.9627907,13.99077209,0,Blink,0
EX01,adult,424.9674419,14.02392558,0,Blink,0
EX01,adult,425.972093,14.05707907,0,Blink,0
EX01,adult,426.9767442,14.09023256,0,Blink,0
EX01,adult,427.9813953,14.12338605,0,Centre,0
EX01,adult,428.9860465,14.15653953,0,Centre,0
EX01,adult,429.9906977,14.18969302,0,Centre,0
EX01,adult,430.9953488,14.22284651,0,Centre,0
EX01,adult,432,14.256,0,NA,0
EX02,adult,0,0,0,Centre,0
EX02,adult,0.997690531,0.032923788,0,Centre,0
EX02,adult,1.995381062,0.065847575,0,Centre,0
EX02,adult,2.993071594,0.098771363,0,Centre,0
EX02,adult,3.990762125,0.13169515,0,Centre,0
EX02,adult,4.988452656,0.164618938,0,Centre,0
EX02,adult,5.986143187,0.197542725,0,Centre,0
EX02,adult,6.983833718,0.230466513,0,Centre,0
EX02,adult,7.981524249,0.2633903,0,Centre,0
EX02,adult,8.979214781,0.296314088,0,Centre,0
EX02,adult,9.976905312,0.329237875,0,Centre,0
EX02,adult,10.97459584,0.362161663,0,Centre,0
EX02,adult,11.97228637,0.39508545,0,Centre,0
EX02,adult,12.96997691,0.428009238,0,Centre,0
EX02,adult,13.96766744,0.460933025,0,Centre,0
EX02,adult,14.96535797,0.493856813,0,Centre,0
EX02,adult,15.9630485,0.5267806,0,Centre,0
EX02,adult,16.96073903,0.559704388,0,Centre,0
EX02,adult,17.95842956,0.592628176,0,Centre,0
EX02,adult,18.95612009,0.625551963,0,Centre,0
EX02,adult,19.95381062,0.658475751,0,Centre,0
EX02,adult,20.95150115,0.691399538,0,Centre,0
EX02,adult,21.94919169,0.724323326,0,Centre,0
EX02,adult,22.94688222,0.757247113,0,Centre,0
EX02,adult,23.94457275,0.790170901,0,Centre,0
EX02,adult,24.94226328,0.823094688,0,Blink,0
EX02,adult,25.93995381,0.856018476,0,Blink,0
EX02,adult,26.93764434,0.888942263,0,Blink,0
EX02,adult,27.93533487,0.921866051,0,Centre,0
EX02,adult,28.9330254,0.954789838,0,Centre,0
EX02,adult,29.93071594,0.987713626,0,Centre,0
EX02,adult,30.92840647,1.020637413,0,Centre,0
EX02,adult,31.926097,1.053561201,0,Centre,0
EX02,adult,32.92378753,1.086484988,0,Centre,0
EX02,adult,33.92147806,1.119408776,0,Centre,0
EX02,adult,34.91916859,1.152332564,0,Centre,0
EX02,adult,35.91685912,1.185256351,0,Centre,0
EX02,adult,36.91454965,1.218180139,0,Centre,0
EX02,adult,37.91224018,1.251103926,0,Centre,0
EX02,adult,38.90993072,1.284027714,0,Centre,0
EX02,adult,39.90762125,1.316951501,0,Centre,0
EX02,adult,40.90531178,1.349875289,0,Centre,0
EX02,adult,41.90300231,1.382799076,0,Centre,0
EX02,adult,42.90069284,1.415722864,0,Centre,0
EX02,adult,43.89838337,1.448646651,0,Centre,0
EX02,adult,44.8960739,1.481570439,0,Centre,0
EX02,adult,45.89376443,1.514494226,0,Centre,0
EX02,adult,46.89145497,1.547418014,0,Centre,0
EX02,adult,47.8891455,1.580341801,0,Centre,0
EX02,adult,48.88683603,1.613265589,0,Centre,0
EX02,adult,49.88452656,1.646189376,0,Centre,0
EX02,adult,50.88221709,1.679113164,0,Centre,0
EX02,adult,51.87990762,1.712036952,0,Centre,0
EX02,adult,52.87759815,1.744960739,0,Centre,0
